method,dataset,category,target_idx,cos_orig_adv,cos_q_orig,cos_q_adv,query_sim_delta
llm_guidance,ragroll,air compressor,3,0.9606694,0.6874025,0.66709507,-0.020307422
llm_guidance,ragroll,air compressor,4,0.9426024,0.6961574,0.6889875,-0.0071699023
llm_guidance,ragroll,air compressor,1,0.94532025,0.6231211,0.6221874,-0.00093370676
llm_guidance,ragroll,air compressor,2,0.96030325,0.69916177,0.68508106,-0.014080703
llm_guidance,ragroll,air compressor,5,0.94056606,0.5346831,0.5649723,0.030289173
llm_guidance,ragroll,air compressor,6,0.9488889,0.6992499,0.6773545,-0.021895409
llm_guidance,ragroll,air compressor,7,0.96497667,0.7035171,0.6915493,-0.011967778
llm_guidance,ragroll,air compressor,8,0.8872354,0.5675138,0.6486499,0.08113605
llm_guidance,ragroll,air purifier,1,0.95095766,0.6692145,0.6646843,-0.0045301914
llm_guidance,ragroll,air purifier,2,0.9473621,0.6790223,0.67965144,0.000629127
llm_guidance,ragroll,air purifier,4,0.9338647,0.6256712,0.6715063,0.045835078
llm_guidance,ragroll,air purifier,3,0.9504221,0.67456007,0.6583933,-0.016166747
llm_guidance,ragroll,air purifier,5,0.9590608,0.69765204,0.70253634,0.0048843026
llm_guidance,ragroll,air purifier,6,0.9300743,0.71134305,0.69435006,-0.016992986
llm_guidance,ragroll,air purifier,7,0.9549218,0.64652103,0.67051995,0.023998916
llm_guidance,ragroll,air purifier,8,0.9289505,0.66297984,0.68483245,0.021852612
llm_guidance,ragroll,automatic garden watering system,1,0.96528447,0.6477055,0.6735997,0.025894225
llm_guidance,ragroll,automatic garden watering system,2,0.95227695,0.7041793,0.7324301,0.028250813
llm_guidance,ragroll,automatic garden watering system,3,0.9590019,0.6880553,0.6966866,0.008631349
llm_guidance,ragroll,automatic garden watering system,4,0.963862,0.7088021,0.71384,0.005037904
llm_guidance,ragroll,automatic garden watering system,5,0.9600821,0.7582259,0.74700797,-0.011217952
llm_guidance,ragroll,automatic garden watering system,6,0.95989853,0.71344036,0.7136247,0.00018435717
llm_guidance,ragroll,automatic garden watering system,7,0.9627246,0.67141485,0.7096554,0.038240552
llm_guidance,ragroll,automatic garden watering system,8,0.9102562,0.6557796,0.7072017,0.05142212
llm_guidance,ragroll,barbecue grill,1,0.9482633,0.59214795,0.56855434,-0.023593605
llm_guidance,ragroll,barbecue grill,2,0.9344215,0.5727432,0.57996464,0.0072214603
llm_guidance,ragroll,barbecue grill,3,0.9692668,0.58775675,0.58886516,0.001108408
llm_guidance,ragroll,barbecue grill,6,0.94641083,0.6235807,0.642306,0.018725336
llm_guidance,ragroll,barbecue grill,5,0.96740603,0.5952153,0.5903498,-0.004865527
llm_guidance,ragroll,barbecue grill,4,0.9444357,0.5995465,0.59732646,-0.0022200346
llm_guidance,ragroll,barbecue grill,7,0.9185816,0.6233696,0.62626004,0.0028904676
llm_guidance,ragroll,beard trimmer,1,0.9647409,0.6899619,0.7028948,0.012932897
llm_guidance,ragroll,beard trimmer,2,0.92243946,0.585967,0.63985795,0.053890944
llm_guidance,ragroll,beard trimmer,3,0.9295738,0.66477007,0.6195369,-0.04523319
llm_guidance,ragroll,barbecue grill,8,0.9201875,0.55652475,0.5946772,0.038152456
llm_guidance,ragroll,beard trimmer,4,0.88924485,0.62213314,0.664647,0.042513847
llm_guidance,ragroll,beard trimmer,5,0.9118077,0.5741486,0.61659825,0.042449653
llm_guidance,ragroll,beard trimmer,6,0.9533015,0.6414122,0.6478791,0.006466925
llm_guidance,ragroll,beard trimmer,8,0.9665536,0.5923508,0.5966938,0.004343033
