method,dataset,category,target_idx,cos_orig_adv,cos_q_orig,cos_q_adv,query_sim_delta
stealthrank,ragroll,air compressor,1,0.94752586,0.6231211,0.63744044,0.01431936
stealthrank,ragroll,air compressor,2,0.94670004,0.69916177,0.7061924,0.0070306063
stealthrank,ragroll,air compressor,3,0.98666704,0.6874025,0.6922426,0.0048401356
stealthrank,ragroll,air compressor,4,0.98076296,0.6961574,0.69753075,0.0013733506
stealthrank,ragroll,air compressor,5,0.98070586,0.5346831,0.5475649,0.012881815
stealthrank,ragroll,air compressor,6,0.98284537,0.6992499,0.6804168,-0.0188331
stealthrank,ragroll,air compressor,7,0.98744035,0.7035171,0.696491,-0.0070260763
stealthrank,ragroll,air compressor,8,0.92569065,0.5675138,0.6108253,0.043311477
stealthrank,ragroll,air purifier,1,0.9876007,0.6692145,0.66349304,-0.00572145
stealthrank,ragroll,air purifier,2,0.9671906,0.6790223,0.7008101,0.021787763
stealthrank,ragroll,air purifier,3,0.9770316,0.67456007,0.6876397,0.013079643
stealthrank,ragroll,air purifier,4,0.9910583,0.6256712,0.6367707,0.011099517
stealthrank,ragroll,air purifier,5,0.9882506,0.697652,0.6902921,-0.0073598623
stealthrank,ragroll,air purifier,6,0.98359,0.71134305,0.7143159,0.0029728413
stealthrank,ragroll,air purifier,7,0.97697765,0.64652103,0.6766153,0.030094266
stealthrank,ragroll,air purifier,8,0.9774105,0.66297984,0.68633753,0.02335769
stealthrank,ragroll,automatic garden watering system,1,0.98775387,0.6477055,0.6698648,0.022159278
stealthrank,ragroll,automatic garden watering system,2,0.97493273,0.7041793,0.6868137,-0.017365575
stealthrank,ragroll,automatic garden watering system,3,0.95032144,0.6880553,0.6824776,-0.0055776834
stealthrank,ragroll,automatic garden watering system,4,0.9913622,0.7088021,0.7026001,-0.0062019825
stealthrank,ragroll,automatic garden watering system,5,0.99158406,0.7582259,0.75747484,-0.0007510781
stealthrank,ragroll,automatic garden watering system,6,0.97760236,0.71344036,0.7071564,-0.006283939
stealthrank,ragroll,automatic garden watering system,7,0.98998296,0.67141485,0.6674553,-0.0039595366
stealthrank,ragroll,automatic garden watering system,8,0.9745182,0.6557796,0.6463276,-0.009451985
stealthrank,ragroll,barbecue grill,1,0.9796183,0.59214795,0.6076397,0.015491724
stealthrank,ragroll,barbecue grill,2,0.9588417,0.5727432,0.57466596,0.0019227862
stealthrank,ragroll,barbecue grill,3,0.98217356,0.58775675,0.57538533,-0.012371421
stealthrank,ragroll,barbecue grill,4,0.98587716,0.5995465,0.6088206,0.009274125
stealthrank,ragroll,barbecue grill,5,0.9902474,0.5952153,0.60020447,0.004989147
stealthrank,ragroll,barbecue grill,6,0.9791393,0.62358075,0.62462497,0.0010442138
stealthrank,ragroll,barbecue grill,7,0.97292787,0.6233696,0.63359404,0.010224462
stealthrank,ragroll,barbecue grill,8,0.983415,0.55652475,0.5926684,0.03614366
stealthrank,ragroll,beard trimmer,1,0.99076474,0.6899619,0.69783175,0.00786984
stealthrank,ragroll,beard trimmer,2,0.98709226,0.585967,0.5895728,0.003605783
stealthrank,ragroll,beard trimmer,3,0.96741766,0.66477007,0.6826042,0.017834127
stealthrank,ragroll,beard trimmer,4,0.9815174,0.62213314,0.6004849,-0.021648228
stealthrank,ragroll,beard trimmer,5,0.9782399,0.5741486,0.5855269,0.011378288
stealthrank,ragroll,beard trimmer,6,0.985386,0.6414122,0.6462693,0.004857123
stealthrank,ragroll,beard trimmer,7,0.9782452,0.6240494,0.66117704,0.037127614
stealthrank,ragroll,beard trimmer,8,0.97539765,0.5923508,0.6364463,0.044095516
stealthrank,ragroll,blender,1,0.9798422,0.65362966,0.6713627,0.017733037
stealthrank,ragroll,blender,2,0.97522557,0.6838887,0.6832053,-0.00068336725
stealthrank,ragroll,blender,3,0.9846344,0.6712358,0.65844023,-0.0127955675
stealthrank,ragroll,blender,4,0.9612806,0.66822803,0.65265584,-0.01557219
stealthrank,ragroll,blender,5,0.9677784,0.6514977,0.65539014,0.0038924217
stealthrank,ragroll,blender,6,0.9926541,0.63258624,0.63209665,-0.00048959255
stealthrank,ragroll,blender,7,0.95891386,0.6628685,0.6688887,0.0060201883
stealthrank,ragroll,blender,8,0.98505,0.6677807,0.67073894,0.0029582381
stealthrank,ragroll,coffee maker,1,0.93848234,0.57504654,0.56365633,-0.011390209
stealthrank,ragroll,coffee maker,2,0.9881942,0.56729907,0.55640906,-0.010890007
stealthrank,ragroll,coffee maker,3,0.9838,0.6267079,0.6228094,-0.0038985014
stealthrank,ragroll,coffee maker,4,0.9784865,0.641318,0.62652206,-0.014795959
stealthrank,ragroll,coffee maker,5,0.9818154,0.61856294,0.6100148,-0.0085481405
stealthrank,ragroll,coffee maker,6,0.98561555,0.5746374,0.5784606,0.0038231611
stealthrank,ragroll,coffee maker,7,0.9264817,0.55986995,0.6300434,0.07017344
stealthrank,ragroll,coffee maker,8,0.99152434,0.6091072,0.62400854,0.01490134
stealthrank,ragroll,computer monitor,1,0.978854,0.6273913,0.62231743,-0.0050738454
stealthrank,ragroll,computer monitor,2,0.9886976,0.6467369,0.6438003,-0.0029366016
stealthrank,ragroll,computer monitor,3,0.97726643,0.6421044,0.6302345,-0.011869907
stealthrank,ragroll,computer monitor,4,0.9885689,0.6539503,0.64251167,-0.011438608
stealthrank,ragroll,computer monitor,5,0.9732361,0.6487788,0.6704295,0.021650732
stealthrank,ragroll,computer monitor,6,0.9927065,0.6449985,0.64522195,0.00022345781
stealthrank,ragroll,computer monitor,7,0.9743324,0.64608175,0.6601455,0.014063776
stealthrank,ragroll,computer monitor,8,0.9786897,0.65006405,0.64133584,-0.008728206
stealthrank,ragroll,computer power supply,1,0.9777791,0.63307536,0.6790606,0.045985222
stealthrank,ragroll,computer power supply,2,0.99150616,0.6394489,0.63724387,-0.0022050142
stealthrank,ragroll,computer power supply,3,0.98205787,0.6493062,0.6488898,-0.00041639805
stealthrank,ragroll,computer power supply,4,0.9817899,0.6298264,0.61653554,-0.013290882
stealthrank,ragroll,computer power supply,5,0.98384786,0.6105771,0.6173065,0.0067293644
stealthrank,ragroll,computer power supply,6,0.9858012,0.6413485,0.6443501,0.0030016303
stealthrank,ragroll,computer power supply,7,0.9949141,0.6223881,0.6166897,-0.0056984425
stealthrank,ragroll,computer power supply,8,0.97135687,0.63410753,0.641967,0.007859468
stealthrank,ragroll,cordless drill,1,0.9875263,0.7290989,0.7317498,0.002650857
stealthrank,ragroll,cordless drill,2,0.98514926,0.7125816,0.70778966,-0.0047919154
stealthrank,ragroll,cordless drill,3,0.9830037,0.5954867,0.60891235,0.013425648
stealthrank,ragroll,cordless drill,4,0.9835985,0.6586071,0.6680314,0.009424269
stealthrank,ragroll,cordless drill,5,0.98196805,0.6215903,0.6419155,0.020325184
stealthrank,ragroll,cordless drill,6,0.9838803,0.6818122,0.6736434,-0.008168817
stealthrank,ragroll,cordless drill,7,0.9680031,0.63912356,0.66988266,0.030759096
stealthrank,ragroll,cordless drill,8,0.9893254,0.6863827,0.6863369,-4.5835972e-05
stealthrank,ragroll,curling iron,1,0.9719864,0.6553246,0.6445576,-0.010766983
stealthrank,ragroll,curling iron,2,0.9780308,0.59109706,0.6051762,0.014079154
stealthrank,ragroll,curling iron,3,0.97753596,0.58410025,0.5794289,-0.004671335
stealthrank,ragroll,curling iron,4,0.99063027,0.68523395,0.6812537,-0.003980279
stealthrank,ragroll,curling iron,5,0.9867999,0.6814911,0.6728531,-0.008637965
stealthrank,ragroll,curling iron,6,0.98497516,0.67865115,0.66873425,-0.009916902
stealthrank,ragroll,curling iron,7,0.9509813,0.58460766,0.66108054,0.07647288
stealthrank,ragroll,curling iron,8,0.9854864,0.68587106,0.67410815,-0.011762917
stealthrank,ragroll,dishwasher,1,0.96641266,0.692395,0.67418563,-0.018209338
stealthrank,ragroll,dishwasher,2,0.9846627,0.68319905,0.6822071,-0.0009919405
stealthrank,ragroll,dishwasher,3,0.9831519,0.6555459,0.6549525,-0.00059336424
stealthrank,ragroll,dishwasher,4,0.97773385,0.65856177,0.6532084,-0.005353391
stealthrank,ragroll,dishwasher,5,0.9761076,0.6802746,0.67066395,-0.009610653
stealthrank,ragroll,dishwasher,6,0.90837014,0.6913255,0.6899502,-0.001375258
stealthrank,ragroll,dishwasher,7,0.98453206,0.69761324,0.6889698,-0.008643448
stealthrank,ragroll,dishwasher,8,0.97827196,0.6908427,0.69010985,-0.0007328391
stealthrank,ragroll,electric sander,1,0.96544474,0.66359115,0.6692142,0.0056230426
stealthrank,ragroll,electric sander,2,0.98064494,0.70986855,0.7065853,-0.0032832623
stealthrank,ragroll,electric sander,3,0.98533463,0.66861,0.6839455,0.0153355
stealthrank,ragroll,electric sander,4,0.96072376,0.6824695,0.70057315,0.01810366
stealthrank,ragroll,electric sander,5,0.9743288,0.70065963,0.6971334,-0.0035262108
stealthrank,ragroll,electric sander,6,0.97852457,0.6958282,0.7018733,0.006045103
stealthrank,ragroll,electric sander,7,0.9863702,0.73678243,0.7250257,-0.011756718
stealthrank,ragroll,electric sander,8,0.98126984,0.58140194,0.5785916,-0.002810359
stealthrank,ragroll,electric toothbrush,1,0.9743662,0.65047276,0.6587132,0.008240461
stealthrank,ragroll,electric toothbrush,2,0.94959515,0.62106466,0.6217391,0.00067442656
stealthrank,ragroll,electric toothbrush,3,0.9855111,0.6262047,0.63706154,0.010856807
stealthrank,ragroll,electric toothbrush,4,0.9846146,0.6317537,0.6375461,0.005792439
stealthrank,ragroll,electric toothbrush,5,0.97394234,0.7227255,0.71909285,-0.0036326647
stealthrank,ragroll,electric toothbrush,6,0.9930787,0.60542786,0.6099105,0.004482627
stealthrank,ragroll,electric toothbrush,7,0.98452157,0.68725824,0.6888304,0.0015721321
stealthrank,ragroll,electric toothbrush,8,0.98545325,0.6488647,0.6815779,0.032713234
stealthrank,ragroll,eyeshadow,1,0.97360164,0.6468404,0.6481413,0.001300931
stealthrank,ragroll,eyeshadow,2,0.97219545,0.71108866,0.6974561,-0.013632536
stealthrank,ragroll,eyeshadow,3,0.957809,0.6891321,0.7062353,0.017103195
stealthrank,ragroll,eyeshadow,4,0.9949107,0.6246909,0.6321945,0.0075036287
stealthrank,ragroll,eyeshadow,5,0.97049785,0.66039383,0.6811979,0.020804048
stealthrank,ragroll,eyeshadow,6,0.99226296,0.69753814,0.6942554,-0.0032827258
stealthrank,ragroll,eyeshadow,7,0.9879789,0.6336207,0.6631027,0.029482007
stealthrank,ragroll,eyeshadow,8,0.98497224,0.7105126,0.7081128,-0.0023998022
stealthrank,ragroll,fascia gun,1,0.9834519,0.49575862,0.5145835,0.018824905
stealthrank,ragroll,fascia gun,2,0.9877717,0.58742535,0.61039686,0.02297151
stealthrank,ragroll,fascia gun,3,0.9894907,0.5348574,0.54105735,0.006199956
stealthrank,ragroll,fascia gun,4,0.9897541,0.5133953,0.51017463,-0.0032206774
stealthrank,ragroll,fascia gun,5,0.97656864,0.48952293,0.49543318,0.0059102476
stealthrank,ragroll,fascia gun,6,0.97247535,0.5752734,0.58765316,0.0123797655
stealthrank,ragroll,fascia gun,7,0.98250026,0.4859961,0.4902772,0.0042811036
stealthrank,ragroll,fascia gun,8,0.97592854,0.5103072,0.5038762,-0.0064309835
stealthrank,ragroll,hair dryer,1,0.9904592,0.66694987,0.68739104,0.020441175
stealthrank,ragroll,hair dryer,2,0.9907185,0.6995248,0.67892146,-0.020603359
stealthrank,ragroll,hair dryer,3,0.97951686,0.70023036,0.682791,-0.017439365
stealthrank,ragroll,hair dryer,4,0.974358,0.6300474,0.63931394,0.009266555
stealthrank,ragroll,hair dryer,5,0.96599376,0.65549624,0.68076766,0.025271416
stealthrank,ragroll,hair dryer,6,0.9825306,0.67058194,0.70332575,0.03274381
stealthrank,ragroll,hair dryer,7,0.9781945,0.6467688,0.64621496,-0.00055384636
stealthrank,ragroll,hair dryer,8,0.9556595,0.7021565,0.6948872,-0.0072692633
stealthrank,ragroll,hair straightener,1,0.98777807,0.5576713,0.55950356,0.0018322468
stealthrank,ragroll,hair straightener,2,0.96006906,0.5900179,0.59256417,0.0025462508
stealthrank,ragroll,hair straightener,3,0.98251283,0.5371835,0.5320537,-0.005129814
stealthrank,ragroll,hair straightener,4,0.9814335,0.61628425,0.61366606,-0.0026181936
stealthrank,ragroll,hair straightener,5,0.987534,0.61201125,0.5995291,-0.012482166
stealthrank,ragroll,hair straightener,6,0.99011403,0.5767194,0.5750032,-0.0017161965
stealthrank,ragroll,hair straightener,7,0.9811295,0.62387395,0.5874191,-0.036454856
stealthrank,ragroll,hair straightener,8,0.9895506,0.58777213,0.56871414,-0.01905799
stealthrank,ragroll,hammock,1,0.9846483,0.6605208,0.6748885,0.0143677
stealthrank,ragroll,hammock,2,0.9897387,0.6843885,0.66596293,-0.018425584
stealthrank,ragroll,hammock,3,0.9815869,0.7119051,0.70114636,-0.010758758
stealthrank,ragroll,hammock,4,0.98828405,0.6802858,0.6590832,-0.021202624
stealthrank,ragroll,hammock,5,0.9867275,0.65317667,0.64299107,-0.010185599
stealthrank,ragroll,hammock,6,0.97831094,0.6785831,0.659226,-0.019357085
stealthrank,ragroll,hammock,7,0.98864794,0.66196316,0.65702033,-0.0049428344
stealthrank,ragroll,hammock,8,0.9780782,0.67052865,0.65275806,-0.017770588
stealthrank,ragroll,hedge trimmer,1,0.98552865,0.73089945,0.73408276,0.0031833053
stealthrank,ragroll,hedge trimmer,2,0.97687435,0.7037548,0.7224437,0.018688917
stealthrank,ragroll,hedge trimmer,3,0.9776226,0.6956227,0.7018076,0.0061849356
stealthrank,ragroll,hedge trimmer,4,0.9773786,0.72161365,0.7317567,0.010143042
stealthrank,ragroll,hedge trimmer,5,0.9730108,0.7071843,0.7083898,0.0012055039
