method,dataset,category,target_idx,cos_orig_adv,cos_q_orig,cos_q_adv,query_sim_delta
unique_words,ragroll,air purifier,8,0.973506,0.66297984,0.66963303,0.0066531897
unique_words,ragroll,air compressor,7,0.9737408,0.7035171,0.7040773,0.00056022406
unique_words,ragroll,air compressor,2,0.97942495,0.69916177,0.71358883,0.014427066
unique_words,ragroll,air purifier,5,0.97124934,0.69765204,0.67652345,-0.021128595
unique_words,ragroll,air purifier,2,0.97696185,0.6790223,0.67203933,-0.006982982
unique_words,ragroll,air purifier,6,0.972383,0.71134305,0.71855843,0.0072153807
unique_words,ragroll,air compressor,5,0.9775335,0.5346831,0.519743,-0.014940083
unique_words,ragroll,air purifier,7,0.984019,0.64652103,0.6592466,0.012725592
unique_words,ragroll,air compressor,1,0.98610103,0.6231211,0.61683095,-0.006290138
unique_words,ragroll,air purifier,3,0.91815925,0.67456007,0.6678284,-0.006731689
unique_words,ragroll,air compressor,6,0.9785918,0.6992499,0.69602025,-0.0032296777
unique_words,ragroll,automatic garden watering system,1,0.96222603,0.6477055,0.66204655,0.014341056
unique_words,ragroll,air compressor,3,0.990266,0.6874025,0.6942224,0.006819904
unique_words,ragroll,automatic garden watering system,4,0.9256084,0.7088021,0.64908683,-0.05971527
unique_words,ragroll,automatic garden watering system,8,0.95035523,0.6557796,0.67339814,0.017618537
unique_words,ragroll,automatic garden watering system,5,0.96053946,0.7582259,0.7167301,-0.0414958
unique_words,ragroll,automatic garden watering system,6,0.96065843,0.71344036,0.6962892,-0.017151177
unique_words,ragroll,air compressor,4,0.9838225,0.6961574,0.68281776,-0.013339639
unique_words,ragroll,automatic garden watering system,3,0.9737458,0.6880553,0.6690589,-0.018996358
unique_words,ragroll,barbecue grill,1,0.9671416,0.59214795,0.6069364,0.014788449
unique_words,ragroll,barbecue grill,3,0.98544496,0.58775675,0.5743681,-0.013388634
unique_words,ragroll,air compressor,8,0.9200556,0.5675138,0.56181115,-0.0057026744
unique_words,ragroll,barbecue grill,2,0.9804244,0.5727432,0.5868124,0.0140692
unique_words,ragroll,barbecue grill,7,0.9646757,0.6233696,0.63694274,0.01357317
unique_words,ragroll,air purifier,4,0.9805537,0.6256712,0.6316026,0.0059313774
unique_words,ragroll,beard trimmer,2,0.9820741,0.585967,0.58169985,-0.004267156
unique_words,ragroll,automatic garden watering system,7,0.9804115,0.67141485,0.6649545,-0.0064603686
unique_words,ragroll,barbecue grill,4,0.9756124,0.5995465,0.6018262,0.0022796988
unique_words,ragroll,beard trimmer,4,0.94424325,0.622133,0.61710316,-0.005029857
unique_words,ragroll,air purifier,1,0.97712564,0.6692145,0.66368234,-0.0055321455
unique_words,ragroll,beard trimmer,6,0.93297756,0.64141214,0.60007375,-0.041338384
unique_words,ragroll,beard trimmer,5,0.9809897,0.57414865,0.5815346,0.007385969
unique_words,ragroll,beard trimmer,7,0.9859793,0.62404937,0.6270114,0.0029620528
unique_words,ragroll,barbecue grill,6,0.96842855,0.6235807,0.6638181,0.040237427
unique_words,ragroll,barbecue grill,8,0.98283887,0.55652475,0.58191985,0.025395095
unique_words,ragroll,blender,1,0.9785748,0.65362966,0.63851094,-0.015118718
unique_words,ragroll,blender,2,0.9822383,0.6838887,0.67746663,-0.006422043
unique_words,ragroll,beard trimmer,1,0.9718543,0.68996185,0.6725733,-0.017388523
