method,ranker,dataset,category,target_idx,L,r_before,r_after,score_orig,score_adv,nrg,success@0.1,promote@0.1,success@0.2,promote@0.2
clean,bge-reranker-v2-m3,ragroll,air compressor,1,8,7,7,0.007908076979219913,0.007908103056252003,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air compressor,2,8,5,5,0.33063867688179016,0.33064138889312744,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air compressor,3,8,4,4,0.35714417695999146,0.35714468359947205,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air compressor,4,8,3,3,0.44150587916374207,0.44150662422180176,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air compressor,5,8,8,8,0.00033654921571724117,0.0003365498560015112,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air compressor,6,8,2,2,0.453122615814209,0.453122615814209,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,air compressor,7,8,1,1,0.4584060609340668,0.4584062993526459,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,air compressor,8,8,6,6,0.009018676355481148,0.00901864655315876,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,1,8,5,5,0.6142750978469849,0.6142752170562744,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,2,8,3,3,0.7111202478408813,0.7111205458641052,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,3,8,4,4,0.6794230341911316,0.679423451423645,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,4,8,8,8,0.08150637149810791,0.08150643855333328,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,5,8,2,2,0.8455501198768616,0.8455499410629272,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,air purifier,6,8,1,1,0.8755308985710144,0.875531017780304,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,air purifier,7,8,7,7,0.18894383311271667,0.18894347548484802,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,air purifier,8,8,6,6,0.26758331060409546,0.2675786018371582,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,1,8,5,5,0.04557640105485916,0.045576389878988266,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,2,8,3,3,0.33904874324798584,0.33904895186424255,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,3,8,7,7,0.024572104215621948,0.024572087451815605,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,4,8,2,2,0.6901137232780457,0.6901134848594666,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,5,8,1,1,0.7776874899864197,0.7776874303817749,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,6,8,8,8,0.007699617184698582,0.007699595298618078,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,7,8,6,6,0.041589293628931046,0.04158927872776985,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,automatic garden watering system,8,8,4,4,0.05807902291417122,0.05807903781533241,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,1,8,8,8,0.005946957506239414,0.005946946796029806,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,2,8,2,2,0.06346861273050308,0.06346894800662994,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,3,8,5,5,0.03228023648262024,0.032280318439006805,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,4,8,4,4,0.03241834044456482,0.03241840377449989,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,5,8,1,1,0.10216501355171204,0.10216496884822845,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,6,8,6,6,0.025296887382864952,0.025296911597251892,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,7,8,3,3,0.04927133023738861,0.04927113279700279,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,barbecue grill,8,8,7,7,0.019921045750379562,0.019921008497476578,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,1,8,1,1,0.7389179468154907,0.7389181852340698,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,2,8,3,3,0.02692035399377346,0.02692030929028988,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,3,8,4,4,0.020560529083013535,0.020560448989272118,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,4,8,5,5,0.013561452738940716,0.013561504893004894,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,5,8,8,8,0.006155246403068304,0.006155217066407204,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,6,8,2,2,0.1486503779888153,0.14865030348300934,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,7,8,7,7,0.010784801095724106,0.010784780606627464,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,beard trimmer,8,8,6,6,0.010879695415496826,0.010879618115723133,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,1,8,4,4,0.07397081702947617,0.07397085428237915,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,2,8,3,3,0.12565429508686066,0.12565426528453827,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,3,8,5,5,0.07267805188894272,0.07267821580171585,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,4,8,1,1,0.15693742036819458,0.15693780779838562,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,blender,5,8,6,6,0.04784312844276428,0.047843087464571,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,6,8,8,8,0.018976137042045593,0.018976297229528427,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,blender,7,8,2,2,0.1291773021221161,0.1291775405406952,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,blender,8,8,7,7,0.038633186370134354,0.03863348439335823,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,1,8,8,8,0.0005757583421654999,0.0005757578182965517,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,2,8,6,6,0.034833841025829315,0.03483390808105469,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,3,8,7,7,0.02535952255129814,0.025359518826007843,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,4,8,2,2,0.12029051035642624,0.12029057741165161,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,5,8,1,1,0.19475188851356506,0.19475191831588745,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,6,8,5,5,0.045845113694667816,0.04584489017724991,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,7,8,4,4,0.05141443759202957,0.05141468718647957,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,coffee maker,8,8,3,3,0.05749533325433731,0.057494647800922394,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,1,8,6,6,0.1629149615764618,0.16291531920433044,0.0,0,0,0,0
